7U Baseball Schedule,,,,
Date,Start Time,Visitor Name,Home Name,Venue Name
"Monday, September 13, 2021",6:30 PM,Sayreville #1,South Amboy #1,South Amboy
"Thursday, September 16, 2021",6:30 PM,Spotswood #2,Sayreville #2,Sayreville AA Complex Field #1
"Thursday, September 16, 2021",6:30 PM,South Amboy #1,Spotswood #1,Spotswood Front Field
"Sunday, September 19, 2021",10:00 AM,Sayreville #2,Spotswood #2,Spotswood Back Field
"Monday, September 20, 2021",6:30 PM,Spotswood #1,Sayreville #1,Sayreville AA Complex Field #1
"Thursday, September 23, 2021",6:30 PM,Sayreville #1,Sayreville #2,Sayreville AA Complex Field #1
"Thursday, September 23, 2021",6:30 PM,Spotswood #1,Spotswood #2,Spotswood Front Field
"Sunday, September 26, 2021",10:00 AM,Spotswood #1,Sayreville #1,Sayreville AA Complex Field #1
"Sunday, September 26, 2021",10:00 AM,South Amboy #1,Spotswood #2,Spotswood Back Field
"Monday, September 27, 2021",6:30 PM,Sayreville #2,South Amboy #1,South Amboy
"Thursday, September 30, 2021",6:30 PM,Sayreville #2,Spotswood #1,Spotswood Front Field
"Sunday, October 03, 2021",10:00 AM,South Amboy #1,Spotswood #2,Spotswood Back Field
"Monday, October 04, 2021",6:30 PM,South Amboy #1,Sayreville #1,Sayreville AA Complex Field #1
"Thursday, October 07, 2021",6:30 PM,Spotswood #1,South Amboy #1,South Amboy
"Thursday, October 07, 2021",6:30 PM,Sayreville #2,Sayreville #1,Sayreville AA Complex Field #1
"Sunday, October 10, 2021",10:00 AM,Spotswood #2,Sayreville #2,Sayreville AA Complex Field #1
"Sunday, October 10, 2021",10:00 AM,Sayreville #1,Spotswood #1,Spotswood Back Field
"Monday, October 11, 2021",6:30 PM,Spotswood #2,South Amboy #1,South Amboy
"Thursday, October 14, 2021",6:30 PM,South Amboy #1,Sayreville #2,Sayreville AA Complex Field #1
"Sunday, October 17, 2021",10:00 AM,Spotswood #2,Sayreville #1,Sayreville AA Complex Field #1
"Sunday, October 17, 2021",10:00 AM,South Amboy #1,Spotswood #1,Spotswood Back Field
"Thursday, October 21, 2021",6:30 PM,Spotswood #2,Sayreville #2,Sayreville AA Complex Field #1
"Thursday, October 21, 2021",6:30 PM,Sayreville #1,Spotswood #1,Spotswood Front Field
"Sunday, October 24, 2021",10:00 AM,Sayreville #1,South Amboy #1,South Amboy
"Sunday, October 24, 2021",10:00 AM,Spotswood #1,Spotswood #2,Spotswood Back Field
"Monday, October 25, 2021",6:30 PM,Sayreville #2,Spotswood #1,Spotswood Front Field
10U Baseball Schedule,,,,
Date,Start Time,Visitor Name,Home Name,Venue Name
"Monday, September 13, 2021",6:30 PM,South Amboy #1,Perth Amboy #1,Youth Complex Field 1 50/70
"Monday, September 13, 2021",6:30 PM,Spotswood #3,Sayreville #1,Sayreville AA Complex Field #1
"Monday, September 13, 2021",6:30 PM,Sayreville #2,Spotswood #2,Spotswood Front Field
"Monday, September 13, 2021",6:30 PM,Spotswood #1,Sayreville #3,Sayreville AA Complex Field #2_
"Wednesday, September 15, 2021",6:30 PM,Perth Amboy #1,Sayreville #2,Sayreville AA Complex Field #1
"Wednesday, September 15, 2021",6:30 PM,Sayreville #1,Sayreville #3,Sayreville AA Complex Field #2_
"Wednesday, September 15, 2021",6:30 PM,Spotswood #2,South Amboy #1,South Amboy
"Friday, September 17, 2021",6:30 PM,South Amboy #2,Spotswood #1,Spotswood Front Field
"Sunday, September 19, 2021",2:00 PM,Spotswood #3,Spotswood #2,Spotswood Back Field
"Monday, September 20, 2021",6:30 PM,Sayreville #3,Perth Amboy #1,Youth Complex Field 1 50/70
"Wednesday, September 22, 2021",6:30 PM,South Amboy #2,Sayreville #1,Sayreville AA Complex Field #2_
"Wednesday, September 22, 2021",6:30 PM,Sayreville #2,South Amboy #1,South Amboy
"Wednesday, September 22, 2021",6:30 PM,Spotswood #3,Spotswood #1,Spotswood Front Field
"Friday, September 24, 2021",6:30 PM,Perth Amboy #1,Sayreville #1,Sayreville AA Complex Field #2_
"Friday, September 24, 2021",6:30 PM,Spotswood #3,South Amboy #2,South Amboy
"Friday, September 24, 2021",6:30 PM,Spotswood #1,Sayreville #2,Sayreville AA Complex Field #1
